tag,text,xpath
a,Shampoo & Conditioner,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[1]/a
a,Heatless Hair,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[2]/a
a,Hair Treatment,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[3]/a
a,Hair Styling,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[4]/a
a,Shower Filters,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[5]/a
a,Accessories,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[6]/a
a,Bundles,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[7]/a
h3,Sleep,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[3]/h3
a,Sleep,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[3]/h3/a
a,Pillowcases,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[3]/ul/li[1]/a
a,The Glazey,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[3]/ul/li[2]/a
a,Eye Masks,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[3]/ul/li[3]/a
a,Sleep Caps & Bonnets,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[3]/ul/li[4]/a
h3,Cleanse,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[4]/h3
a,Shower Filters,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[5]/a
a,Shave & Razor,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[4]/ul/li[2]/a
a,Body Wash,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[4]/ul/li[3]/a
a,Hair Towels & Spa,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[4]/ul/li[4]/a
a,Beauty Tools,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[4]/ul/li[5]/a
a,Shower Caps,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[4]/ul/li[6]/a
a,Travel,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[4]/ul/li[7]/a
h3,Accessories,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[5]/h3
a,Hair Clips & Bobby Pins,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[5]/ul/li[1]/a
a,Pro Hair,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[5]/ul/li[2]/a
a,Brushes & Combs,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[5]/ul/li[3]/a
a,Hair Ties,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[5]/ul/li[4]/a
a,Scrunchies,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[5]/ul/li[5]/a
a,Headbands,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[5]/ul/li[6]/a
a,NEW,/html/body/div[4]/header/div[1]/nav/ul/li[2]/a
a,BEST SELLERS,/html/body/div[4]/header/div[1]/nav/ul/li[3]/a
a,COLLABS,/html/body/div[4]/header/div[1]/nav/ul/li[4]/a
a,BUNDLES,/html/body/div[4]/header/div[1]/nav/ul/li[5]/a
a,TODAY'S OFFERS,/html/body/div[4]/header/div[1]/nav/ul/li[6]/a
h3,popular searches,/html/body/div[4]/div[2]/div[1]/form/div[2]/template[2]/div/h3
a,Shampoo,/html/body/div[4]/div[2]/div[1]/form/div[2]/template[2]/div/ul/li[1]/a
a,Body Wash,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[4]/ul/li[3]/a
a,Satin Pillowcase,/html/body/div[4]/div[2]/div[1]/form/div[2]/template[2]/div/ul/li[3]/a
a,Heatless Hair,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[2]/a
a,Shower Caps,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[4]/ul/li[6]/a
a,Recycled Hair Clips,/html/body/div[4]/div[2]/div[1]/form/div[2]/template[2]/div/ul/li[6]/a
a,Towel Scrunchies,/html/body/div[4]/div[2]/div[1]/form/div[2]/template[2]/div/ul/li[7]/a
h3,Products,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[2]/div[1]/h3
h3,trending products,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/h3
a,Rs. 340.00 OFF,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[1]/div/div/a
p,Rice Water Shampoo Bar for Hair Growth,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[1]/div/a/p
a,Rs. 880.00 OFF,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[2]/div/div/a
p,Kitsch Self-Draining Shower Caddy,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[2]/div/a/p
a,Rs. 340.00 OFF,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[1]/div/div/a
p,Rice Water Conditioner Bar for Hair Growth,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[3]/div/a/p
a,Rs. 340.00 OFF,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[1]/div/div/a
p,Strengthening Bond Repair Solid Hair Mask,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[4]/div/a/p
a,Rs. 340.00 OFF,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[1]/div/div/a
p,Self-Draining Soap Dish,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[5]/div/a/p
a,Home,/html/body/main/section[1]/section/div/div[2]/div/nav/ol/li[1]/a
h1,Castor Oil Shampoo + Conditioner Combo,/html/body/main/section[1]/section/div/div[2]/div/div[1]/h1
p,available for orders over $10 !,/html/body/main/section[1]/section/div/div[2]/div/div[3]/p
a,!,/html/body/main/section[1]/section/div/div[2]/div/div[3]/p/a
