tag,text,xpath
h2,Your cart is empty,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[1]/div[2]/div[1]/div/h2
a,Continue shopping,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[1]/div[2]/div[1]/div/a
p,Have an account?,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[1]/div[2]/div[1]/div/p[1]
p,Log in to check out faster.,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[1]/div[2]/div[1]/div/p[2]
a,Log in,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[1]/div[2]/div[1]/div/p[2]/a
h3,Bestsellers Curly Hair Products,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[1]/div[2]/div[2]/div/div/div[1]/div[2]/div/h3
a,Bestsellers Curly Hair Products,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[1]/div[2]/div[2]/div/div/div[1]/div[2]/div/h3/a
p,"Bestselling hair care for curly, coily & tight textures shower. style. treat....",/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[1]/div[2]/div[2]/div/div/div[1]/div[2]/div/p
h3,Bestsellers Curly Hair Products,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[1]/div[2]/div[2]/div/div/div[1]/div[2]/div/h3
a,Bestsellers Curly Hair Products,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[1]/div[2]/div[2]/div/div/div[1]/div[2]/div/h3/a
p,Loading...,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[1]/fostr-cart-drawer-items/div/form/div[1]/p[2]
h3,Subtotal,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[2]/div/div[1]/div[1]/h3
p,$0.00,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[2]/div/div[1]/div[1]/p
a,shipping,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[2]/div/div[1]/small/a
a,Skip Navigation,/html/body/fostr-main-content/a
a,free us shipping on orders $75+,/html/body/fostr-main-content/div[1]/div/div/div[1]/a
p,free us shipping on orders $75+,/html/body/fostr-main-content/div[1]/div/div/div[1]/a/p
a,FREE GIFT WITH LEAVE-IN CONDITIONER,/html/body/fostr-main-content/div[1]/div/div/div[2]/a
p,FREE GIFT WITH LEAVE-IN CONDITIONER,/html/body/fostr-main-content/div[1]/div/div/div[2]/a/p
a,OUR CURLING IRON HAS WON AN ALLURE BEST OF BEAUTY AWARD!,/html/body/fostr-main-content/div[1]/div/div/div[3]/a
p,OUR CURLING IRON HAS WON AN ALLURE BEST OF BEAUTY AWARD!,/html/body/fostr-main-content/div[1]/div/div/div[3]/a/p
a,free us shipping on orders $75+,/html/body/fostr-main-content/div[1]/div/div/div[1]/a
p,free us shipping on orders $75+,/html/body/fostr-main-content/div[1]/div/div/div[1]/a/p
a,FREE GIFT WITH LEAVE-IN CONDITIONER,/html/body/fostr-main-content/div[1]/div/div/div[2]/a
p,FREE GIFT WITH LEAVE-IN CONDITIONER,/html/body/fostr-main-content/div[1]/div/div/div[2]/a/p
a,Samples,/html/body/fostr-main-content/div[2]/sticky-header/header/nav/ul/li[1]/a
a,curl quiz,/html/body/fostr-main-content/div[2]/sticky-header/header/nav/ul/li[2]/header-menu/details/ul/li[1]/a
a,Curl Guide,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[5]/div[2]/div/ul/li[1]/a
a,Blog,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[5]/div[2]/div/ul/li[2]/a
a,conditioner quiz,/html/body/fostr-main-content/div[2]/sticky-header/header/nav/ul/li[2]/header-menu/details/ul/li[4]/a
a,Curling Iron,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[5]/div[2]/div/ul/li[5]/a
a,Shop by Category,/html/body/fostr-main-content/div[2]/sticky-header/header/nav/ul/li[3]/a
a,Shop by Texture,/html/body/fostr-main-content/div[2]/sticky-header/header/nav/ul/li[4]/a
a,SETS & MINIS,/html/body/fostr-main-content/div[2]/sticky-header/header/nav/ul/li[5]/a
a,Our Story,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/footer/p/a[1]
a,Glossary,/html/body/fostr-main-content/div[2]/sticky-header/header/nav/ul/li[6]/header-menu/details/ul/li[2]/a
a,our cause,/html/body/fostr-main-content/div[2]/sticky-header/header/nav/ul/li[6]/header-menu/details/ul/li[3]/a
a,Rewards,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/footer/p/a[2]
a,Log in,/html/body/div[5]/div/fostr-cart-drawer/div/div[2]/div[1]/div[2]/div[1]/div/p[2]/a
a,"Cart
00 items",/html/body/fostr-main-content/div[2]/sticky-header/header/div[2]/a[2]
a,Samples,/html/body/fostr-main-content/div[2]/sticky-header/header/nav/ul/li[1]/a
a,Bestsellers,/html/body/fostr-main-content/div[2]/sticky-header/div/a[2]
a,Styling Creams & Gels,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/ul/li[1]/a
a,Conditioners,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/ul/li[2]/a
a,Shampoo & Prepoo,/html/body/fostr-main-content/div[2]/sticky-header/div/a[5]
a,"Masks, Oils & Serums",/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/ul/li[4]/a
a,Heat Styling,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/ul/li[5]/a
a,Tools & Brushes,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/ul/li[6]/a
a,Accessories,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/ul/li[7]/a
h3,Shop by Category,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/h3
p,Heat Styling​,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[1]
a,Heat Styling​,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[1]/a
p,Shampoos & Pre-Poo​,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[2]
a,Shampoos & Pre-Poo​,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[2]/a
p,Conditioners,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[3]
